against  bertentangan 	 

Mississippi ; Mississippi River  Sungai Mississippi 
diphtheria 	 difteri  medicine  flatter ; blandish 	 menyanjung  championship ; title  kejuaraan  sports 
dispute ; difference ; difference of opinion ; conflict  perselisihan 	 

antibody  antibodi  medicine  dream 	 memimpikan  thirst ; thirstiness  dahaga 
scanner ; digital scanner ; image scanner 	 pemindai  device  praseodymium ; Pr ; atomic number 59 	 praseodimium 	 
frost ; hoar ; hoarfrost ; rime  embun beku 
gadolinium ; Gd ; atomic number 64 	 gadolinium 	 

Goteborg ; Goeteborg ; Gothenburg  Göteborg  city  phoneme  fonem 	 linguistics 
rhenium ; Re ; atomic number 75  renium 	 
Lake Tanganyika ; Tanganyika 	 Danau Tanganyika  menace ; threat  ancaman  
anecdote  anekdot  jug  guci 
team ; squad 	 regu 	 sports 
pulse ; pulsation ; heartbeat ; beat 	 denyut jantung  medicine  lavender  lavender  shrub  ore  bijih 
rape ; violation ; assault ; ravishment  perkosaan 
Valentine Day ; Valentine's Day ; Saint Valentine's Day ; St Valentine's Day ; February 14 	 Hari Valentine 
prokaryote ; procaryote 	 prokariota 	 genetics  quarrel ; wrangle ; row ; words ; run-in ; dustup  pertengkaran 	 
corset ; girdle ; stays 	 korset  alms 	 derma  lily 	 bakung 	 

lid  tutup 	 technology 
gamma radiation ; gamma ray  sinar gamma 
Watt ; James Watt 	 James Watt 	 person  light-emitting diode ; LED  dioda cahaya  tempest  badai  typhoon  topan 
luck ; fortune ; chance ; hazard  kemujuran  spectrum  spektrum  
ladder 	 tangga 	 

retaliation ; revenge  pembalasan  golf ; golf game 	 golf  ultrasound 	 ultrasonik  bark 	 menyalak 
cello ; violoncello  selo  type 	 jenis 	 
species  jenis 	 genetics 
reciprocal ; mutual  saling memberi  mathematics  grape ; grapevine ; grape vine 	 anggur 	 
thulium ; Tm ; atomic number 69  tulium 	 
cliff ; drop ; drop-off 	 tebing  supper 	 makan malam 
inheritance ; heritage 	 warisan  genetics  dagger ; sticker 	 belati 
candle ; candela ; cd ; standard candle  candela  
abattoir ; butchery ; shambles ; slaughter
rumah jagal 
Rodin ; Auguste Rodin ; Francois Auguste Rene Rodin  Auguste Rodin  person  paradox  paradoks 
set theory 	 teori himpunan  mathematics  council  dewan 	 
Banjul ; capital of Gambia  Banjul 	 city  Kaunas ; Kovna ; Kovno 	 Kaunas 	 city 
character ; role ; theatrical role ; part ; persona  peranan  institute  institut  communism  komunisme 
remark ; comment ; input 	 komentar  
hematology ; haematology 	 hematologi  dangerous ; unsafe 	 berbahaya  Arabian Peninsula ; Arabia  Jazirah Arab 
apparent ; evident ; manifest ; patent ; plain ; unmistakable  nyata 	 

alarm ; alert ; warning signal ; alarum  tanda bahaya 	 telecommunications 
barely ; hardly ; just ; scarcely ; scarce 	 hampir tidak 
Johannesburg 	 Johannesburg  New England 	 New England  euthanasia ; mercy killing  eutanasia  cookie ; cooky ; biscuit 	 biskuit 
lie ; prevarication  dusta ; bohong  
grandson  cucu lelaki  sample 	 contoh 	 
ideal 	 ideal 	 mathematics 
caricature ; imitation ; impersonation  karikatur 
Nasser ; Gamal Abdel Nasser  Gamal Abdul Nasir 	 person 
Nunavut  Nunavut 
ageless ; aeonian ; eonian ; eternal ; everlasting ; perpetual ; unending ; unceasing  abadi 
singer ; vocalist ; vocalizer ; vocaliser 	 penyanyi  Western Australia 	 Australia Barat 
decree ; edict ; fiat ; order ; rescript 	 dekrit 	 
matter ; affair ; thing 	 barang 	 

fatherland ; homeland ; motherland ; mother country ; country of origin ; native land  tanah leluhur 
Pisa 	 Pisa 	 city 
American football ; American football game 	 Sepak bola Amerika 
hell ; hell on earth ; hellhole ; snake pit ; the pits ; inferno 	 neraka  Talmud 	 Talmud 
village ; hamlet 	 desa 	 

Mahabharata ; Mahabharatam ; Mahabharatum 	 Mahabharata  title 	 judul 	 finance  Porto ; Oporto  Porto 	 city 
right ascension ; RA ; celestial longitude 	 asensio rekta  astronomy  longitude  garis lintang  
Friuli-Venezia Giulia  Friuli-Venezia Giulia 
game theory ; theory of games 	 teori permainan  mathematics 
Northwest Territories  Northwest Territories  Sitting Bull 	 Sitting Bull 	 person 
amusing ; comic ; comical ; funny ; laughable ; mirthful ; risible  menggelikan 
Mannheim  Mannheim  city  banquet ; feast  jamuan makan 
everywhere ; everyplace ; all over 	 di mana-mana  magazine ; mag  majalah 
exhibition ; exposition ; expo 	 pameran  Asmara ; Asmera  Asmara, Eritrea  kinetic energy ; K.E.  energi kinetis  network ; web  jaringan  logistics  captain  komandan  

Society of Jesus ; Jesuit order  Yesuit  consumer  konsumen  
semiotics ; semiology  semiotika 
Congress ; United States Congress ; U.S. Congress ; US Congress 	 Kongres  microbe ; bug ; germ  mikroba  

espionage  spionase 
wasp 	 lebah 	 

courage ; courageousness ; bravery ; braveness  kegagahan  
defect ; fault ; flaw  cacat  
correct ; rectify ; right  mengoreksi  
gnome ; dwarf  gnome  quarantine  karantina  skiing  ski  crowd  orang banyak  Gabriel  Malaikat Jibril  adult ; grownup  orang dewasa 
Satan ; Old Nick ; Devil ; Lucifer ; Beelzebub ; the Tempter ; Prince of Darkness 
Setan  equitable ; just  adil  colonialism  kolonialisme  illustration  gambar 
generator ; source ; author  pengarang  

referee ; ref  wasit 	 sports 
taboo ; tabu 	 haram 
Pharaoh ; Pharaoh of Egypt  Firaun 
policeman ; police officer ; officer 	 polisi 	 
Matisse ; Henri Matisse ; Henri Emile Benoit Matisse 	 Henri Matisse  person 
tumor ; tumour ; neoplasm  tumor 	 medicine 
miner ; mineworker 	 penambang 
Canis Major ; Great Dog 	 Canis Major 	 constellation 
Dalai Lama ; Grand Lama 	 Dalai Lama 
Miller ; Arthur Miller 	 Arthur Miller  person  ornithology 	 ornitologi 
curate ; minister of religion ; minister ; parson ; pastor ; rector  pendeta  cactus 	 kaktus 	 

disciple ; adherent  pengikut  expressionism  ekspresionisme  duke 	 gelar bangsawan 
adversary ; antagonist ; opponent ; opposer ; resister  lawan  organ 	 organ 	 biology 
duty ; responsibility ; obligation 	 kewajiban  
study 	 belajar  
aorta 	 aorta 	 medicine 
Capricornus ; Capricorn 	 Capricornus 	 constellation 
legislature ; legislative assembly ; legislative body ; general assembly ; lawmakers 	 legislatif 
booklet ; brochure ; folder ; leaflet ; pamphlet 	 buklet  loan 	 pinjaman  

Ganges ; Ganges River  Sungai Gangga 
boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome  membosankan 
Harare ; Salisbury ; capital of Zimbabwe 	 Harare 	 city 
Habsburg ; Hapsburg  Habsburg 
Austin ; capital of Texas  Austin, Texas  
palindrome 	 palindrom  Barents Sea 	 Laut Barents 
red blood cell ; RBC ; erythrocyte 	 sel darah merah  reef 	 karang 
greasy ; oily ; sebaceous ; oleaginous  berminyak  pit ; cavity 	 lubang 
sometimes  kadang-kadang  

San Diego  San Diego, California  chronology 	 kronologi 
Scorpius ; Scorpio 	 Scorpius  constellation 
Sea of Japan ; East Sea 	 Laut Jepang 
Tigris ; Tigris River  Sungai Tigris 
Little Bear ; Ursa Minor 	 Ursa Minor 	 constellation  mechanical engineering 	 teknik mesin  bend ; flex 	 menekuk  

dysprosium ; Dy ; atomic number 66 	 disprosium 	 

marsh ; marshland ; fen ; fenland  rawa  explosion ; burst 	 jebolan  
hemoglobin ; haemoglobin ; Hb 	 hemoglobin  nineties ; 1890s 	 1890-an 
cycle ; rhythm ; round 	 daur 	 mathematics 
slaughter ; massacre ; mass murder ; carnage ; butchery  pembantaian 	 

rosary ; prayer beads  tasbih 
subtraction ; minus  kurang 	 mathematics 
eternity ; infinity  keabadian 
sandstone  batu pasir 
hawk 	 rajawali  ornitology 
1750s 	 1750-an 
rubber ; natural rubber ; India rubber ; gum elastic ; caoutchouc 	 karet 	 

mare ; female horse  kuda betina 
ZIP code ; ZIP ; postcode ; postal code  kode pos 
1850s  1850-an  incense  kemenyan 
affable ; amiable ; cordial ; genial 	 ramah 
green
; nursery ; glass
rumah kaca 	 

Compositae ; family Compositae ; Asteraceae ; family Asteraceae ; aster family  Asteraceae 
desk 	 meja tulis 
marimba ; xylophone  silofon  bring ; get ; convey ; fetch 	 membawa  wrath ; anger ; ire ; ira  kemarahan  revolve ; go around ; rotate 	 berputar  lipstick ; lip rouge  gincu  corner ; nook  sudut 
1820s 	 1820-an 
Wright ; Frank Lloyd Wright  Frank Lloyd Wright 	 person 
Ostrava  Ostrava  horn 	 klakson 
cholesterol ; cholesterin  kolesterol 	 medicine  sugarcane ; sugar cane ; Saccharum officinarum 	 tebu 
Caucasus ; Caucasus Mountains 	 Kaukasus  fundamentalism  fundamentalisme  ice cream ; icecream  es krim  kimono 	 kimono 
Exodus ; Book of Exodus 	 Kitab Keluaran  jeep ; landrover 	 jip 	
dance ; trip the light fantastic ; trip the light fantastic toe  clown ; buffoon ; goof ; goofball ; merry andrew 	 badut  accept ; admit ; take ; take on  menerima 	 menari 
obedient  patuh 
antipathy ; aversion ; distaste  rasa benci 	 
Rachmaninoff ; Sergei Rachmaninoff ; Sergei Vasilievich Rachmaninoff ; 
Rachmaninov ; Sergei Rachmaninov ; Sergei Vasilievich Rachmaninov 	 Sergei 
Rachmaninoff 	 person  sound 	 kedengaran  acquire ; win ; gain  mendapat 
lose 	 kehilangan 	 

Nightingale ; Florence Nightingale ; Lady with the Lamp  Florence Nightingale  
person 
parchment ; sheepskin ; lambskin  perkamen 
Franklin ; Benjamin Franklin 	 Benjamin Franklin 	 person  physical 
kimia fisik 
pedal ; treadle ; foot pedal ; foot lever 	 pedal  Queensland 	 Queensland 
find ; regain  menemukan  

bedbug ; bed bug ; chinch ; Cimex lectularius  kutu busuk 	 animal  neighbor ; neighbour  tetangga 
Taft ; William Howard Taft ; President Taft  William Howard Taft  person  biodiversity 	 keanekaragaman hayati 
Shelley ; Mary Shelley ; Mary Wollstonecraft Shelley ; Mary Godwin Wollstonecraft 
Shelley 	 Mary Shelley 	 person  antenna ; feeler 	 sungut  rhetoric  retorika 
Solomon  Salomo 	 religion 
lighter ; light ; igniter ; ignitor 	 korek api  technology  Stoker ; Bram Stoker ; Abraham Stoker  Bram Stoker 	 person  abbreviation 	 singkatan  linguistics  receive ; have  menerima  

Ho Chi Minh City ; Saigon  Kota Ho Chi Minh 	 city  explain ; explicate  menjelaskan 	 
musical instrument ; instrument  alat musik 	 device 
Scorsese ; Martin Scorsese  Martin Scorsese 
Kigali ; capital of Rwanda  Kigali 	 

Garibaldi ; Giuseppe Garibaldi 	 Giuseppe Garibaldi 	 person 
European Central Bank  Bank Sentral Eropa 
applause ; hand clapping ; clapping 	 tepuk tangan 
Occam's Razor ; Ockham's Razor ; principle of parsimony ; law of parsimony  Pisau 
Ockham 
cage ; coop 	 kurungan  
Leaning Tower ; Leaning Tower of Pisa  Menara Pisa  polygamy  poligami 
economy ; economic system  ekonomi  
bury ; entomb ; inhume ; inter ; lay to rest  mengubur  translate ; interpret ; render 	 menerjemahkan  regiment  resimen  

sesame ; benne ; benni ; benny ; Sesamum indicum 	 wijen 	 
hemisphere 	 belahan  geometry  sign ; mark 	 isyarat  
frontier  perbatasan 	 
barrel ; cask  tong 	 
plankton  plankton  Eratosthenes 	 Eratosthenes  bayonet  sangkur  

backpack ; back pack ; knapsack ; packsack ; rucksack ; haversack 	 ransel 	 

paragon ; idol ; perfection ; beau ideal 	 idola  basil 	 selasih  

landslide ; landslip  tanah longsor 
The Star-Spangled Banner 	 The Star-Spangled Banner  confess ; squeal ; fink 	 mengaku  Brest 	 Brest, Perancis  city  cabin 	 kabin  yeast ; barm 	 ragi 
bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 kamar tidur 	 room 
meeting ; group meeting 	 rapat  horoscope  horoskop 
tetanus ; lockjaw 	 tetanus  medicine  Hispaniola ; Haiti ; Hayti  Hispaniola  parasite  parasit  

almanac  almanak 
Colombo ; capital of Sri Lanka 	 Kolombo  

Varna 	 Varna 
heroism ; gallantry ; valor ; valour ; valorousness ; valiance ; valiancy  kepahlawanan 
autobiography  otobiografi 
connect ; link ; tie ; link up 	 menghubungkan  logistics  preparation ; readying 	 persiapan  

decide ; make up one's mind ; determine  menentukan 	 
pseudonym ; anonym ; nom de guerre 	 nama samaran 
politician ; politico ; pol ; political leader 	 politikus  poem ; verse form 	 puisi 
store ; stock ; fund  persediaan 	 
gill ; branchia  insang 
Managua ; capital of Nicaragua ; Nicaraguan capital  Managua  city  human 	 manusia  
episode  episode 
Inner Mongolia ; Nei Monggol 	 Mongolia Dalam 
Fischer ; Bobby Fischer ; Robert James Fischer 	 Bobby Fischer  awful ; dire ; direful ; dread ; dreaded ; dreadful ; fearful ; fearsome ; frightening ; horrendous ; horrific ; terrible  buruk sekali  meridian ; line of longitude 	 garis bujur 	 

three ; 3 ; III ; trio ; threesome ; tierce ; leash ; troika ; triad ; trine ; trinity ; ternary ; ternion ; triplet ; tercet ; terzetto ; trey ; deuce-ace 	 tiga  mathematics  ecliptic  ekliptika 
subsidy  subsidi  

Torrid Zone ; tropical zone ; tropics  Tropis 
Honolulu ; capital of Hawaii ; Hawaiian capital 	 Honolulu  

menu ; bill of fare ; card ; carte du jour ; carte  daftar makanan  cooking  gamma 	 sinar gamma 	 mathematics 
distillation ; distillment  distilasi  
barrister  advokat 
yard ; pace 	 yard 	 
diploma ; sheepskin  ijazah 
portrayal ; portraiture ; portrait 	 potret  diver ; frogman ; underwater diver 	 penyelam  animal  ferry ; ferryboat 	 feri  logical  logis  warrior  pendekar 
Arab-Israeli War ; Yom Kippur War  Perang Yom Kippur  margarine ; margarin ; oleo ; oleomargarine ; marge  margarin  direct 	 lurus 	 
Pompeii  Pompeii  city  toxicology 	 toksikologi 
Chang Jiang ; Changjiang ; Chang ; Yangtze ; Yangtze River ; Yangtze Kiang  Sungai Panjang 
child ; kid ; youngster ; minor ; shaver ; nipper ; small fry ; tiddler ; tike ; tyke ; fry ; nestling  anak 	 
morality  moral  consultation 	 konsultasi 
store
; depot ; entrepot ; storage ; store 	 depot 	 
guilty 	 bersalah ; dosa 
resident ; occupant ; occupier 	 penghuni 
criminal ; felon ; crook ; outlaw ; malefactor 	 penjahat  fiber ; fibre  serat 	 

Alzheimer's disease ; Alzheimer's ; Alzheimers 	 alzheimer  Tunis ; capital of Tunisia  Tunis 	 
pedestrian ; walker ; footer 	 pejalan kaki  electric field  medan listrik  Basel ; Basle ; Bale  Basel 	 city  international  internasional  
deuterium ; heavy hydrogen  deuterium  

programmer ; computer programmer ; coder ; software engineer  pemrogram  computers  prophet  nabi 
property ; attribute ; dimension  sifat 	 
ardor ; ardour ; elan ; zeal 	 semangat 
Borges ; Jorge Borges ; Jorge Luis Borges 	 Jorge Luis Borges 	 person 
Harrison ; George Harrison  George Harrison  person  lesbian ; tribade ; gay woman 	 lesbian  liar ; prevaricator  pembohong  layer ; bed 	 lapisan  computers 
Fibonacci number 	 Bilangan Fibonacci 	 mathematics  argument ; argumentation ; debate  debat 	 mathematics 
Lake Aral ; Aral Sea  Laut Aral 
Urals ; Ural Mountains 	 Pegunungan Ural  candy ; confect  permen  bitumen  aspal 
Minotaur  Minotaurus 	 mythology 
Stevenson ; Robert Louis Stevenson ; Robert Louis Balfour Stevenson  Robert 
Louis Stevenson  person  positron ; antielectron 	 positron  Cetacea ; order Cetacea 	 Cetacea  length 	 panjang  

pancake ; battercake ; flannel cake ; flannel-cake ; flapcake ; flapjack ; 
griddlecake ; hotcake ; hot cake  kue dadar  Oder ; Oder River 	 Sungai Oder 
measles ; rubeola ; morbilli 	 cacar air  disease  tundra 	 tundra 	 

Ophiuchus  Ophiuchus  constellation 
advocate ; counsel ; counselor ; counsellor ; counselor-at-law ; pleader  pengacara  accounting  dinner 	 makan malam  intelligence 	 kecerdasan  Arab ; Arabian  Bangsa Arab 
British ; British people ; Brits  Tokoh Britania Raya  lumber ; timber  kayu 	 
vacation ; holiday 	 liburan  chemist  ahli kimia 
Prime Minister ; PM ; premier 	 perdana menteri  Undset ; Sigrid Undset 	 Sigrid Undset  person  hypocrisy  kemunafikan 
Loki 	 Loki 	 mythology 
Coma Berenices  Coma Berenices  constellation 
Goldman ; Emma Goldman 	 Emma Goldman 	 person 
McKinley ; William McKinley ; President McKinley 	 William McKinley 	 person 
ashtray  asbak 
Jew ; Hebrew ; Israelite 	 Yahudi 
treachery ; betrayal ; treason ; perfidy 	 pendurhakaan 
incest 	 hubungan sedarah 
Congo ; Congo River ; Zaire River  Sungai Kongo 
router 	 router 	 IT 
lens ; lense ; lens system  lensa 	 optics  arboretum ; botanical garden 	 kebun raya  exist ; be 	 ada  
rule ; ruler 	 penggaris 
achieve ; accomplish ; attain ; reach  mencapai  
read-only memory ; ROM ; read-only storage ; fixed storage 	 rom  IT 
Bihar 	 Bihar 
Kuala Lumpur 	 Kuala Lumpur  abstract  tidak nyata 
sketch ; study  sketsa 	 
shard ; sherd ; fragment 	 kepingan  
action 	 tindakan  mathematics 
abundant  berlimpah  Yokohama  Yokohama  city  shovel  sekop  wisdom  kebijaksanaan 
Fillmore ; Millard Fillmore ; President Fillmore 	 Millard Fillmore 	 person 
Gent ; Gand ; Ghent  Gent 	 city  diabetes  kencing manis  medicine  Linz ; Lentia  Linz  epidemiology 	 epidemiologi  bonsai 	 bonsai 	 tree 
death ; dying ; demise 	 mati 	 

Chongqing ; Chungking  Chongqing  city 
Goa  Goa, India 
pixel ; pel ; picture element 	 piksel 	 IT  ware
; storage ware
gudang 	 
piston ; plunger 	 piston 	 technology  champagne ; bubbly 	 sampanye 
John the Baptist ; St. John the Baptist  Yohanes Pembaptis 	 religion  dirt ; filth ; grime ; soil ; stain ; grease ; grunge 	 kotoran  capital ; working capital  modal 	 
governor  gubernur 
average ; norm  rata-rata  
Cardiff  Cardiff  city  pesticide  pestisida  

Sibelius ; Jean Sibelius ; Johan Julius Christian Sibelius 	 Jean Sibelius  person 
chew ; masticate ; manducate ; jaw 	 mengunyah  visitor ; visitant 	 tamu 
magic trick ; conjuring trick ; trick ; magic ; legerdemain ; conjuration ; thaumaturgy ; illusion ; deception  ilusi  valiant ; valorous 	 gagah berani 
Akhenaton ; Akhenaten ; Ikhanaton ; Amenhotep IV 	 Akhenaten 
Turing machine  Mesin Turing 	 mathematics  apprehension ; apprehensiveness ; dread  ketakutan 
ideal ; paragon ; nonpareil ; saint ; apotheosis ; nonesuch ; nonsuch 	 idaman 	 mathematics  reader 	 pembaca 
scientific method 	 metode ilmiah  methodology 	 metodologi 	 
varnish  pernis 	 
turbine  turbin 	 
smudge ; spot ; blot ; daub ; smear ; smirch ; slur  noda  sir  tuan 
Celsius ; Anders Celsius 	 Anders Celsius  person 
Gibson ; Mel Gibson ; Mel Columcille Gerard Gibson  Mel Gibson 
Hamlet 	 Hamlet 
equality ; equivalence ; equation ; par  persamaan  

Bauhaus  Bauhaus 
Poitou-Charentes ; Poitou  Poitou-Charentes 
pure 	 murni 	 
petrology ; lithology  petrologi  aweary ; weary  lelah  airbus 	 airbus 
ethane ; C2H6  etana 	 

nurse 	 perawat 
Auckland  Auckland  city 
manufacture ; fabricate ; construct 	 membuat  

Brezhnev ; Leonid Brezhnev ; Leonid Ilyich Brezhnev  Leonid Brezhnev  person  world ; reality  realitas  pumpkin  labu 
terbium ; Tb ; atomic number 65  terbium  
Norfolk Island  Pulau Norfolk 
agency 	 badan 	 

dentistry ; dental medicine ; odontology 	 kedokteran gigi 
Berlioz ; Hector Berlioz ; Louis-Hector Berlioz 	 Hector Berlioz  person  forgiveness ; pardon  maaf 
institution ; establishment  lembaga  
Jutland ; Jylland 	 Jutlandia 
adhesive material ; adhesive agent ; adhesive  perekat  
samarium ; Sm ; atomic number 62  samarium  
sedimentary rock 	 batuan sedimen  article ; clause 	 klausul  beehive ; hive  sarang lebah  despair ; desperation  keputusasaan 
kerosene ; kerosine ; lamp oil ; coal oil 	 minyak tanah  break 	 memecah  

berkelium ; Bk ; atomic number 97  berkelium  
Federal Bureau of Investigation ; FBI  FBI  titmouse ; tit  burung pipit 	 ornitology  biogeography 	 biogeografi  dynasty  dinasti 
bring around ; cure ; heal  menyembuhkan  arena 	 gelanggang  ambulance  ambulans 
veterinarian ; veterinary ; veterinary surgeon ; vet 	 dokter hewan  antelope  kijang 	 
locust 	 belalang  animal 
Kissinger ; Henry Kissinger ; Henry Alfred Kissinger 	 Henry Alfred Kissinger 
pace ; stride ; tread  langkah  ceramic  keramik 
sludge ; slime ; goo ; goop ; gook ; guck ; gunk ; muck ; ooze  endapan  

wide area network ; WAN 	 wan  hope 	 harapan  interesting 	 menarik 
Kublai Khan ; Kubla Khan ; Kublai Kaan  Kubilai Khan 	 person  senate 	 senat 
Tegucigalpa ; Honduran capital 	 Tegucigalpa 	 city  rent 	 sewa 	 

starfish ; sea star  bintang laut 	 

anteroom ; antechamber ; entrance hall ; hall ; foyer ; lobby ; vestibule  asrama mahasiswa  room  vegetarianism  vegetarian  sensitive ; sore ; raw ; tender  peka 
protect  melindungi 
trachea ; windpipe 	 kerongkongan 	 medicine  essay 	 karangan  friendly  ramah 
export ; exportation  ekspor 	 

celebrated ; famed ; far-famed ; famous ; illustrious ; notable ; noted ; renowned  terkenal 
heading ; header ; head 	 judul 	 computers 
Avicenna ; ibn-Sina ; Abu Ali al-Husain ibn Abdallah ibn Sina  Ibnu Sina  intranet  intranet  

genius ; mastermind ; brain ; brainiac ; Einstein  jenius  indulgent ; lenient ; soft  lunak  amphitheater ; amphitheatre ; coliseum  arena 
olive ; European olive tree ; Olea europaea  zaitun 	 tree  leprosy ; Hansen's disease  kusta 	 medicine  cap  tudung  gale 	 angin kencang 
cytoplasm ; cytol 	 sitoplasma 	 genetics  entire ; full ; total  seluruh  logistics  warn 	 memperingatkan 
Yom Kippur ; Day of Atonement 	 Yom Kippur  tyrant ; autocrat ; despot  tirani 
Pretoria ; capital of South Africa 	 Pretoria  

mucus ; mucous secretion 	 ingus 	 medicine  optimism  optimisme 
autonomy ; liberty 	 pemerintahan sendiri  Atlas Mountains  Pegunungan Atlas  overlord ; master ; lord 	 penguasa  Russian  Rusia 
even-toed ungulate ; artiodactyl ; artiodactyl mammal 	 hewan berkuku genap  

Dhaka ; Dacca ; capital of Bangladesh  Dhaka 	 city  suffix ; postfix 	 akhiran  linguistics 
seaborgium ; Sg ; element 106 ; atomic number 106  seaborgium 	 
atrocious ; frightful ; horrifying ; horrible ; ugly 	 tidak menyenangkan  kindergarten 	 taman kanak-kanak 
Alpha Centauri ; Rigil Kent ; Rigil 	 Alpha Centauri  Lee ; Bruce Lee ; Lee Yuen Kam 	 Bruce Lee  person  ovum ; egg cell  telur 	 genetics 
carbon monoxide ; carbon monoxide gas ; CO  nationality 	 kebangsaan 	 karbon monoksida 
Duncan ; Isadora Duncan 	 Isadora Duncan 	 person 
trunk ; tree trunk ; bole  batang pohon  compartment  kompartemen  room  resurrection  kebangkitan  radiation  radiasi  


Taylor ; Zachary Taylor ; President Taylor  Astrakhan  Astrakhan 
exception  kekecualian 	 
Zachary Taylor  person 
adorable ; endearing ; lovely 	 cantik  Recife ; Pernambuco  Pernambuco 	 city 
sodium chloride ; common salt 	 natrium klorida  
commanding officer ; commandant ; commander  pemimpin  bikini ; two-piece 	 bikini 
Champagne ; Champagne-Ardenne 	 Champagne-Ardenne  pursuit ; chase ; pursual ; following  pengejaran  pioneer  pionir 
siege ; besieging ; beleaguering ; 
blockade 	 pengepungan 	 
sonnet 	 soneta 
debris ; dust ; junk ; rubble ; detritus 	 puing  progress ; progression ; advance  kemajuan  
photographer ; lensman 	 juru foto  veto 	 hak veto 
chapter  bab  
DOS ; disk operating system  DOS  clinic 	 klinik 
Francis of Assisi ; Saint Francis of Assisi ; St. Francis of Assisi ; Saint Francis ; St. Francis ; Giovanni di Bernardone  Fransiskus dari Assisi 	 person 
venom 	 bisa 	 

joint ; articulation ; articulatio 	 sendi 	 technology  somewhere ; someplace  di suatu tempat  Karnataka ; Mysore 	 Karnataka  conversation 	 percakapan 	 
pious 	 saleh 
grace ; good will ; goodwill 	 keindahan  antidote ; counterpoison 	 penawar  medicine  buddy ; brother ; chum ; crony ; pal ; sidekick 	 sahabat 
rogue ; knave ; rascal ; rapscallion ; scalawag ; scallywag ; varlet  bajingan  sociolinguistics 	 sosiolinguistik 
Tashkent ; Taskent ; capital of Uzbek  Tashkent  

Erasmus ; Desiderius Erasmus ; Gerhard Gerhards ; Geert Geerts  Desiderius 
Erasmus  person  bough  cabang  tree  file  kikir 
Granada  Granada 
vocabulary ; lexicon ; mental lexicon  kosa kata  linguistics  practice  praktek  
foreword ; preface ; prolusion 	 prakata  real ; existent  asli 	 economics  Chennai ; Madras 	 Chennai  city  Adelaide  Adelaide 
trip 	 perjalanan 	 

sight 	 pandangan 
critic 	 kritikus 
Cannes 	 Cannes 	 city 
sphinx 	 sphinx 
trunk 	 peti 	 automobiles 
lone ; lonesome ; only ; sole ; solitary 	 satu-satunya  rabbi 	 rabi 
percept ; perception ; perceptual experience  persepsi  
evil 	 kejahatan  Sikkim 	 Sikkim 
librarian ; bibliothec 	 pustakawan 
coconut ; coconut palm ; coco palm ; coco ; cocoa palm ; coconut tree ; Cocos nucifera  kelapa 	 tree 
youth 	 masa muda 
garbage ; refuse ; food waste ; scraps  sampah  Derrida ; Jacques Derrida  Jacques Derrida  person 
avaricious ; covetous ; grabby ; grasping ; greedy ; prehensile 	 serakah  Stone Age  Zaman Batu  maestro ; master 	 master  Perm ; Molotov  Perm 	 city  parabola  parabola  
betray ; sell  mengkhianati 
code ; computer code  kode 	 mathematics  Husserl ; Edmund Husserl 	 Edmund Husserl  person  host 	 tuan rumah 	 

cone ; conoid ; cone shape  kerucut  
brief 	 singkat 
resolution ; declaration ; resolve 	 pernyataan 	 
source code 	 kode sumber 
parallelogram  paralelogram 	 

Plovdiv ; Philippopolis 	 Plovdiv  city 
Hokusai ; Katsushika Hokusai 	 Katsushika Hokusai 	 person 
damp ; dampish ; moist 	 lembab  bathe ; bath 	 membasahi 
probationary ; provisional ; provisionary ; tentative 	 sementara  Hayes ; Rutherford B. Hayes ; Rutherford Birchard Hayes ; President Hayes  
Rutherford B. Hayes 	 person  West Bengal 	 Benggala Barat  sled ; sledge ; sleigh 	 kereta luncur  elegy ; lament  lagu sedih  ripe ; mature  matang 
spectator ; witness ; viewer ; watcher ; looker 	 penonton  there 	 situ ((less distant)'' ; sana ((more distant)) 
electric guitar  gitar listrik 
contempt ; disdain ; scorn ; despite 	 rendah  manufacturer ; producer 	 pembuat  
simulation ; computer simulation  simulasi  
Vladivostok 	 Vladivostok 
gallery ; art gallery ; picture gallery  galeri 	 room  blemish ; defect ; mar 	 cacat 	 

clutch 	 kopling  
Arctic ; Arctic Zone ; North Frigid Zone 	 Arktik  production 	 produksi  

felt 	 beledu 
glory ; glorification  kejayaan  sweat ; sudate ; perspire  berkeringat  symptom  gejala 
accelerator ; particle accelerator ; atom smasher  pemercepat partikel  javelin  lembing  sports  bacteria ; bacterium  bakteri  
tattoo 	 rajah 
antenna ; aerial ; transmitting aerial  antena 	 technology  bald ; bald-headed ; bald-pated  gundul  corpulent ; obese ; weighty ; rotund 	 gemuk  Ku Klux Klan ; Klan ; KKK  Ku Klux Klan 
sample ; try ; try out ; taste 	 mencicipi  
set ; circle ; band ; lot  kelompok  accounting 
Massachusetts Institute of Technology ; MIT  Institut Teknologi Massachusetts  fair ; just 	 adil  Anglicanism 	 Anglikanisme  domestic sheep ; Ovis aries  domba  distant ; remote 	 jauh 
Bakunin ; Mikhail Bakunin ; Mikhail Aleksandrovich Bakunin 	 Mikhail Bakunin  person 
